0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
4842 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dct_spatial_sm,memSize=5533,tindexSize=84,time=40,phase1=40,nTerms=233,bigTerms=3,termInstances=297,uses=0}
4853 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dc_creator_sm,memSize=5317,tindexSize=56,time=2,phase1=2,nTerms=51,bigTerms=2,termInstances=75,uses=0}
4924 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dc_subject_sm,memSize=6082,tindexSize=48,time=22,phase1=22,nTerms=88,bigTerms=9,termInstances=173,uses=0}
4935 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=822 
4947 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener done.
4947 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Registered new searcher Searcher@2d1ddb1d[blacklight-core] main{StandardDirectoryReader(segments_6f:585:nrt _6a(4.10.3):C158/27:delGen=17 _6l(4.10.3):C10 _6m(4.10.3):C1 _6n(4.10.3):C1 _6o(4.10.3):C1 _6p(4.10.3):C1 _6q(4.10.3):C1 _6r(4.10.3):C1 _6s(4.10.3):C1 _6t(4.10.3):C1 _6v(4.10.3):C1 _6w(4.10.3):C1 _6x(4.10.3):C1 _6y(4.10.3):C1 _6z(4.10.3):C1 _70(4.10.3):C1 _71(4.10.3):C1 _72(4.10.3):C1 _73(4.10.3):C1)}
5356 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/nyugeoblacklight/jetty/solr/blacklight-core/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/nyugeoblacklight/jetty/solr/blacklight-core/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_6f,generation=231}
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/ubuntu/nyugeoblacklight/jetty/solr/blacklight-core/data/index lockFactory=NativeFSLockFactory@/home/ubuntu/nyugeoblacklight/jetty/solr/blacklight-core/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_6g,generation=232}
5356 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 232
5389 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@5340d9b5[blacklight-core] main
5400 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – QuerySenderListener sending requests to Searcher@5340d9b5[blacklight-core] main{StandardDirectoryReader(segments_6f:590:nrt _6a(4.10.3):C158/28:delGen=18 _6l(4.10.3):C10 _6m(4.10.3):C1 _6n(4.10.3):C1 _6o(4.10.3):C1 _6p(4.10.3):C1 _6q(4.10.3):C1 _6r(4.10.3):C1 _6s(4.10.3):C1 _6t(4.10.3):C1 _6v(4.10.3):C1 _6w(4.10.3):C1 _6x(4.10.3):C1 _6y(4.10.3):C1 _6z(4.10.3):C1 _70(4.10.3):C1 _71(4.10.3):C1 _72(4.10.3):C1 _73(4.10.3):C1 _74(4.10.3):C1)}
5407 [recoveryExecutor-7-thread-1] INFO  org.apache.solr.update.UpdateHandler  – end_commit_flush
5454 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dct_isPartOf_sm,memSize=4288,tindexSize=0,time=0,phase1=0,nTerms=0,bigTerms=0,termInstances=0,uses=0}
5493 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=dct_spatial_sm,memSize=5537,tindexSize=84,time=13,phase1=13,nTerms=233,bigTerms=3,termInstances=297,uses=0}
